"2342","1592","2333","2307","1414","1551","1414","11","0","2","0","0","0","0"
" RowID","","","Product Name","System SKU","Barcode","Product SKU","บาร์โค้ดจริง","","หน่วย","","","",""
"SKU-559-1437","559","1437","มรกต น้ำมันปาล์ม ขวด 1ลิตร  (มรกต น้ำมันปาล์ม ขวด 1ลิตร หีบX12)","U00001012","18850154000048","U00001012","","","","","","",""
"SKU-560-1440","560","1440","โอลีน น้ำมันปาล์ม ขวด 1ลิตร  (โอลีน น้ำมันปาล์ม ขวด 1ลิตร หีบX12)","U00001013","18850635001335","U00001013","","","","","","",""
"SKU-563-1962","563","1962","หยก น้ำมันปาล์ม ขวด 1ลิตร  (หยก น้ำมันปาล์ม ขวด 1ลิตร  )","U00001015","8850581111044","U00001015","","","","","","",""
"SKU-563-1900","563","1900","หยก น้ำมันปาล์ม ขวด 1ลิตร  (หยก น้ำมันปาล์ม ขวด 1ลิตร  แพค/6ขวด)","U00001015","-","U00001015","","","","","","",""
"SKU-563-1442","563","1442","หยก น้ำมันปาล์ม ขวด 1ลิตร  (หยก น้ำมันปาล์ม ขวด 1ลิตร หีบX12)","U00001015","18850581111058","U00001015","","","","","","",""
"SKU-564-1444","564","1444","โบนัส น้ำมันปาล์ม ขวด 1ลิตร  (โบนัส น้ำมันปาล์ม ขวด 1ลิตร หีบx12)","U00001014","18858776301086","U00001014","","","","","","",""
"SKU-565-1446","565","1446","ทิพรส น้ำปลา 300มล.  (ทิพรส น้ำปลา300มล. )","U00001018","8850545311114","U00001018","","","","","","",""
"SKU-565-1445","565","1445","ทิพรส น้ำปลา 300มล.  (ทิพรส น้ำปลา300มล. หีบx24)","U00001018","28850545311118","U00001018","","","","","","",""
"SKU-566-1447","566","1447","ทิพรส น้ำปลา 700มล.  (ทิพรส น้ำปลา 700มล. )","U00001019","8850545777552","U00001019","","","","","","",""
"SKU-566-1448","566","1448","ทิพรส น้ำปลา 700มล.  (ทิพรส น้ำปลา700มล. หีบx12)","U00001019","18850545777559","U00001019","","","","","","",""
"SKU-567-1449","567","1449","แม่ครัว น้ำปลา 700มล (แม่ครัว น้ำปลา 700มล. หีบx12ขวด)","U00001020","8850475601422","U00001020","","","","","","",""
"SKU-568-1451","568","1451","แม่ครัว ซอสหอยนางรม 600 มล  (แม่ครัว ซอสหอยนางรม 600 มล )","U00001028","8850038400035","U00001028","","","","","","",""
"SKU-568-1452","568","1452","แม่ครัว ซอสหอยนางรม 600 มล  (แม่ครัว ซอสหอยนางรม 600 มล หีบx12)","U00001028","18850038400032","U00001028","","","","","","",""
"SKU-570-1455","570","1455","อายิโนะโมะโต๊ะ ผงชูรส 72ก (อายิโนะโมะโต๊ะ ผงชูรส 72ก แพคx20)","U00001034","8850250011668","U00001034","","","","","","",""
"SKU-570-1456","570","1456","อายิโนะโมะโต๊ะ ผงชูรส 72ก (อายิโนะโมะโต๊ะ ผงชูรส 72ก หีบx10แพค20)","U00001034","38850250001660","U00001034","","","","","","",""
"SKU-571-1458","571","1458","อายิโนะโมะโต๊ะ ผงชูรส 250ก (อายิโนะโมะโต๊ะ ผงชูรส 250ก)","U00001035","8850250014980","U00001035","","","","","","",""
"SKU-571-1459","571","1459","อายิโนะโมะโต๊ะ ผงชูรส 250ก (อายิโนะโมะโต๊ะ ผงชูรส 250ก แพคx20)","U00001035","8850250014997","U00001035","","","","","","",""
"SKU-571-1460","571","1460","อายิโนะโมะโต๊ะ ผงชูรส 250ก (อายิโนะโมะโต๊ะ ผงชูรส 250ก	หีบx4 แพค20)","U00001035","88502500150004","U00001035","","","","","","",""
"SKU-572-1463","572","1463","อายิโนะโมะโต๊ะ ผงชูรส 500ก (อายิโนะโมะโต๊ะ ผงชูรส 500ก)","U00001036","8850250015017","U00001036","","","","","","",""
"SKU-572-1461","572","1461","อายิโนะโมะโต๊ะ ผงชูรส 500ก (อายิโนะโมะโต๊ะ ผงชูรส 500ก แพคx10)","U00001036","8850250015024","U00001036","","","","","","",""
"SKU-572-2294","572","2294","อายิโนะโมะโต๊ะ ผงชูรส 500ก (อายิโนะโมะโต๊ะ ผงชูรส 500ก แพคx4)","U00001036","-","U00001036","","","","","","",""
"SKU-572-1462","572","1462","อายิโนะโมะโต๊ะ ผงชูรส 500ก (อายิโนะโมะโต๊ะ ผงชูรส 500ก หีบx4 แพค10)","U00001036","88502500150318","U00001036","","","","","","",""
"SKU-573-1464","573","1464","อายิโนะโมะโต๊ะ ผงชูรส 1กก. (อายิโนะโมะโต๊ะ ผงชูรส 1กก.)","U00001037","8850250015062","U00001037","","","","","","",""
"SKU-573-1465","573","1465","อายิโนะโมะโต๊ะ ผงชูรส 1กก. (อายิโนะโมะโต๊ะ ผงชูรส 1กก.	หีบx20)","U00001037","88502500150790","U00001037","","","","","","",""
